year,country,class,amount
1980,AT,A,87
1980,AT,B,138
1980,AT,C,249
1980,AT,D,43
1980,AT,E,26
1980,AT,F,82
1980,AT,G,58
1980,AT,H,62
1980,BE,A,80
1980,BE,B,71
1980,BE,C,99
1980,BE,D,18
1980,BE,E,18
1980,BE,F,34
1980,BE,G,47
1980,BE,H,67
1980,BG,A,11
1980,BG,B,7
1980,BG,C,43
1980,BG,D,3
1980,BG,E,1
1980,BG,F,10
1980,BG,G,7
1980,BG,H,10
1980,CH,A,292
1980,CH,B,437
1980,CH,C,734
1980,CH,D,92
1980,CH,E,84
1980,CH,F,199
1980,CH,G,144
1980,CH,H,206
1980,CZ,A,14
1980,CZ,B,21
1980,CZ,C,9
1980,CZ,D,3
1980,CZ,E,4
1980,CZ,F,7
1980,CZ,G,6
1980,CZ,H,5
1980,DE,A,2592
1980,DE,B,5923
1980,DE,C,4989
1980,DE,D,1479
1980,DE,E,1373
1980,DE,F,3175
1980,DE,G,1805
1980,DE,H,3433
1980,DK,A,89
1980,DK,B,107
1980,DK,C,66
1980,DK,D,6
1980,DK,E,12
1980,DK,F,46
1980,DK,G,33
1980,DK,H,45
1980,ES,A,4
1980,ES,B,2
1980,ES,C,17
1980,ES,D,1
1980,ES,E,3
1980,ES,F,5
1980,ES,G,9
1980,ES,H,7
1980,FI,A,81
1980,FI,B,87
1980,FI,C,203
1980,FI,D,5
1980,FI,E,12
1980,FI,F,33
1980,FI,G,21
1980,FI,H,20
1980,FR,A,452
1980,FR,B,585
1980,FR,C,843
1980,FR,D,76
1980,FR,E,68
1980,FR,F,261
1980,FR,G,172
1980,FR,H,256
1980,GB,A,292
1980,GB,B,387
1980,GB,C,505
1980,GB,D,60
1980,GB,E,55
1980,GB,F,199
1980,GB,G,206
1980,GB,H,270
1980,GR,A,5
1980,GR,B,2
1980,GR,C,3
1980,GR,E,1
1980,GR,F,1
1980,GR,G,1
1980,HU,A,337
1980,HU,B,173
1980,HU,C,328
1980,HU,D,41
1980,HU,E,22
1980,HU,F,101
1980,HU,G,98
1980,HU,H,89
