year,class,amount
1980,A,3696
1980,B,6463
1980,C,6413
1980,D,1623
1980,E,1404
1980,F,3298
1980,G,2469
1980,H,4376
1981,A,5319
1981,B,6784
1981,C,8168
1981,D,1732
1981,E,1360
1981,F,3194
1981,G,2866
1981,H,4308
1982,A,6739
1982,B,7229
1982,C,9864
1982,D,1625
1982,E,1567
1982,F,3482
1982,G,3632
1982,H,4828
1983,A,6797
1983,B,7557
1983,C,13695
1983,D,1991
1983,E,1349
1983,F,3528
1983,G,3989
1983,H,5342
1984,A,8397
1984,B,7676
1984,C,17422
1984,D,1532
1984,E,1332
1984,F,3062
1984,G,3585
1984,H,3291
1985,A,7722
1985,B,7929
1985,C,15510
1985,D,2143
1985,E,1507
1985,F,3226
1985,G,3938
1985,H,4680
1986,A,7757
1986,B,8648
1986,C,15251
1986,D,2222
1986,E,1624
1986,F,3386
1986,G,3930
1986,H,5296
1987,A,8747
1987,B,9734
1987,C,16147
1987,D,2333
1987,E,2007
1987,F,4250
1987,G,4091
1987,H,5778
1988,A,8748
1988,B,10591
1988,C,16663
1988,D,2350
1988,E,2047
1988,F,4729
1988,G,4846
1988,H,6073
1989,A,8627
1989,B,11189
1989,C,16267
1989,D,2215
1989,E,1997
1989,F,5003
1989,G,5158
1989,H,6143
1990,A,8692
1990,B,10118
1990,C,15351
1990,D,2118
1990,E,1734
1990,F,4294
1990,G,4786
1990,H,5263
1991,A,9292
1991,B,9997
1991,C,15753
1991,D,1877
1991,E,1663
1991,F,4367
1991,G,4861
1991,H,5854
1992,A,9759
1992,B,9800
1992,C,16255
1992,D,2136
1992,E,1781
1992,F,4180
1992,G,5007
1992,H,6034
1993,A,10678
1993,B,9807
1993,C,18442
1993,D,1944
1993,E,1628
1993,F,4186
1993,G,4688
1993,H,5905
1994,A,11196
1994,B,9960
1994,C,18778
1994,D,2013
1994,E,1920
1994,F,3946
1994,G,5479
1994,H,7346
1995,A,17767
1995,B,7878
1995,C,20727
1995,D,1185
1995,E,1588
1995,F,3187
1995,G,4522
1995,H,6711
1996,A,26033
1996,B,7644
1996,C,21915
1996,D,1127
1996,E,1480
1996,F,3307
1996,G,4664
1996,H,6702
1997,A,31667
1997,B,11827
1997,C,22371
1997,D,1633
1997,E,1814
1997,F,5511
1997,G,6037
1997,H,7861
1998,A,20009
1998,B,18340
1998,C,26817
1998,D,3289
1998,E,2952
1998,F,8286
1998,G,7287
1998,H,10534
1999,A,24840
1999,B,20086
1999,C,27618
1999,D,3106
1999,E,3041
1999,F,8158
1999,G,8531
1999,H,11195
2000,A,17903
2000,B,19225
2000,C,37607
2000,D,4492
2000,E,3128
2000,F,7811
2000,G,10048
2000,H,11753
2001,A,21228
2001,B,19767
2001,C,36262
2001,D,4239
2001,E,3294
2001,F,7654
2001,G,9142
2001,H,10939
2002,A,24768
2002,B,18939
2002,C,30694
2002,D,3756
2002,E,4747
2002,F,7341
2002,G,9137
2002,H,9826
2003,A,23428
2003,B,16786
2003,C,39036
2003,D,2671
2003,E,2486
2003,F,5699
2003,G,9657
2003,H,10360
2004,A,39313
2004,B,19175
2004,C,36898
2004,D,3209
2004,E,2298
2004,F,7746
2004,G,10503
2004,H,13424
2005,A,44347
2005,B,17573
2005,C,40247
2005,D,3309
2005,E,2253
2005,F,6961
2005,G,8161
2005,H,11046
2006,A,57903
2006,B,25351
2006,C,45700
2006,D,3644
2006,E,3664
2006,F,12200
2006,G,11950
2006,H,15892
2007,A,42977
2007,B,33062
2007,C,47730
2007,D,4638
2007,E,5198
2007,F,15853
2007,G,18009
2007,H,18304
2008,A,28014
2008,B,40494
2008,C,45931
2008,D,4931
2008,E,6394
2008,F,20187
2008,G,23872
2008,H,21498
2009,A,24065
2009,B,47238
2009,C,30396
2009,D,5993
2009,E,9865
2009,F,25849
2009,G,21235
2009,H,23122
2010,A,19880
2010,B,43324
2010,C,24143
2010,D,5443
2010,E,7924
2010,F,26114
2010,G,21776
2010,H,29763
2011,A,18758
2011,B,31277
2011,C,19635
2011,D,3454
2011,E,6332
2011,F,18419
2011,G,14490
2011,H,18117
2012,A,23775
2012,B,25268
2012,C,26383
2012,D,2627
2012,E,4308
2012,F,12296
2012,G,17460
2012,H,19313
2013,A,25583
2013,B,23419
2013,C,29262
2013,D,2680
2013,E,2829
2013,F,10780
2013,G,19079
2013,H,20176
2014,A,22044
2014,B,26147
2014,C,18747
2014,D,1877
2014,E,4174
2014,F,13618
2014,G,15394
2014,H,17276
